lat	lon	essence	anne_plant
48.8521900456	2.34729161013	Robinier	1602
48.8423762644	2.41463735489	Frêne	1740
48.8426166046	2.41453745463	Erable	1745
48.842458546	2.41461128266	Frêne	1753
48.8423406088	2.41457782126	Frêne	1753
48.8880708892	2.31587945839	Platane	1840
48.8876882503	2.31645920912	Platane	1850
48.8880710835	2.31581380418	Platane	1860
48.8481565553	2.30231537089	Marronnier	1870
48.8481438183	2.30266200927	Marronnier	1870
48.8399556817	2.29800253831	Marronnier	1870
48.839916943	2.29804458141	Marronnier	1870
48.8480265678	2.3026999429	Marronnier	1870
48.8398646624	2.29793374241	Marronnier	1870
48.8482205094	2.30241211636	If	1870
48.8480886189	2.30279437129	Marronnier	1870
48.8482040163	2.30238851273	Marronnier	1870
48.8482736843	2.30270234947	Peuplier	1870
48.8480015038	2.3026599702	Marronnier	1870
48.8399642245	2.29782708406	Marronnier	1870
48.8398808094	2.29808613834	Marronnier	1870
48.8479158934	2.30235404269	Marronnier	1870
48.847897123	2.30241315785	Platane	1870
48.8399065729	2.29789123247	Marronnier	1870
48.8479583955	2.30222050843	Marronnier	1870
48.8479312228	2.30228957921	Marronnier	1870
48.8478996113	2.30250759725	Platane	1870
48.8398267826	2.2979735799	Marronnier	1870
48.848058878	2.30274989861	Marronnier	1870
48.8399990124	2.29795695654	Marronnier	1870
48.847948904	2.30256989377	Micocoulier	1870
48.848316417	2.30263794027	Platane	1870
48.8769182805	2.3464199344	Platane	1872
48.879070194	2.38150333096	Chicot du Canada	1873
48.8452716088	2.29256156038	Marronnier	1873
48.8449533488	2.29338343287	Marronnier	1873
48.8452492063	2.29222972895	Marronnier	1873
48.8616397563	2.3792526072	Marronnier	1882
48.8616309518	2.37867943804	Marronnier	1882
48.8614656533	2.37884394794	Marronnier	1882
48.8621075593	2.37854117403	Platane	1882
48.8614552081	2.37902980377	Marronnier	1882
48.8614499982	2.37983964361	Platane	1882
48.8617755368	2.37902093913	Marronnier	1882
48.8614456278	2.3794960919	Platane	1882
48.8619232379	2.37941015091	Platane	1882
48.8615523582	2.37906233437	Marronnier	1882
48.8615869761	2.37859144096	Noisetier de Byzance	1882
48.8611153002	2.37922683051	Platane	1882
48.8618603182	2.37948133149	Platane	1882
48.8614987669	2.37893229779	Marronnier	1882
48.8618538129	2.37908566719	Noisetier de Byzance	1882
48.8615268216	2.3789981387	Marronnier	1882
48.8617066299	2.37959766231	Platane	1882
48.8619577838	2.37835112961	Platane	1882
48.8615798498	2.37912050852	Marronnier	1882
48.8617507794	2.37896282632	Marronnier	1882
48.8613317387	2.3797065636	Noisetier de Byzance	1882
48.8618029068	2.3790915732	Marronnier	1882
48.8618814446	2.37945654867	Platane	1882
48.8616969627	2.37883437325	Marronnier	1882
48.861724004	2.37889572891	Marronnier	1882
48.8616676691	2.37876561706	Marronnier	1882
48.8616074945	2.37918538696	Marronnier	1882
48.821909127	2.33801931124	Cèdre	1883
48.8330296306	2.35069308184	Marronnier	1894
48.847636383	2.25274648359	Arbre aux quarante écus	1895
48.8471733333	2.25286615	Chêne	1895
48.847672644	2.25550771498	Pin	1899
48.8754853244	2.36214904311	Charme	1900
48.8416858617	2.3877150042	Tilleul	1900
48.8595821673	2.26818464461	Marronnier	1900
48.8592000498	2.26804798624	Tilleul	1900
48.8758648315	2.29304836015	Paulownia	1900
48.8832121028	2.3260330036	Micocoulier	1900
48.860033202	2.41152076442	Pommier à fleurs	1900
48.8211681011	2.3376867735	Chêne	1900
48.8585197845	2.26986594258	Marronnier	1900
48.8472496443	2.2543562963	Aulne	1900
48.84178121	2.38773047513	Tilleul	1900
48.8417274915	2.38778762039	Tilleul	1900
48.8600610922	2.41155810969	Pommier à fleurs	1900
48.8531080241	2.3592804467	Figuier	1900
48.8417285521	2.38771993251	Tilleul	1900
48.8416796511	2.38778328631	Tilleul	1900
48.8729713351	2.37725582769	Marronnier	1905
48.8624607286	2.39394950971	Marronnier	1905
48.8714614797	2.27440639785	Bouleau	1905
48.8643849687	2.39498451401	Marronnier	1905
48.8614826396	2.39884890002	Cerisier à fleurs	1905
48.8737402977	2.37651217541	Marronnier	1905
48.8737042304	2.37637527934	Marronnier	1905
48.8623650426	2.39717003062	Tilleul	1905
48.8726953186	2.3772982652	Marronnier	1905
48.8718082558	2.27446780817	Erable	1905
48.8739161519	2.37640425664	Marronnier	1905
48.8638415511	2.39651722251	Marronnier	1905
48.8731888079	2.37697625442	Marronnier	1905
48.8319489962	2.2715027216	Nyssa	1905
48.8644126404	2.39505283944	Marronnier	1905
48.8612340619	2.39235286625	Marronnier	1905
48.8733563717	2.37694991562	Pommier à fruits	1905
48.8731535936	2.37703667983	Marronnier	1905
48.871263208	2.27492802464	Plaqueminier	1905
48.873117611	2.37710303163	Marronnier	1905
48.8733067593	2.37698044483	Pommier à fruits	1905
48.8715343154	2.27437759895	Cognassier	1905
48.8731340956	2.37690865871	Marronnier	1905
48.8623035752	2.38989347526	Marronnier	1905
48.8729963936	2.37716338134	Marronnier	1905
48.8737641195	2.37633930417	Marronnier	1905
48.8730847413	2.37716464108	Marronnier	1905
48.8633529661	2.39222710965	Marronnier	1905
48.8727805563	2.37724500308	Marronnier	1905
48.8735302751	2.37648175621	Marronnier	1905
48.8621305356	2.39558805472	Cyprès	1905
48.844887526	2.35366915704	Hêtre	1905
48.8731145936	2.37677825189	Marronnier	1905
48.867392244	2.36848538296	Sophora	1905
48.8735074064	2.37665462834	Marronnier	1905
48.8736224272	2.37658268356	Marronnier	1905
48.8716931409	2.27441936019	Hêtre	1905
48.8730495372	2.37722862443	Marronnier	1905
48.8734713393	2.37651773281	Marronnier	1905
48.8611409131	2.39587324059	Thuya	1905
48.8729761121	2.37703179837	Marronnier	1905
48.8738591215	2.37644166868	Marronnier	1905
48.8718976028	2.27534669286	Parrotie de Perse	1905
48.8739731889	2.37636972114	Marronnier	1905
48.8624773604	2.39458047077	Magnolia	1905
48.8714935662	2.27491975407	Libocèdre	1905
48.8628446706	2.39760781256	Cerisier à fleurs	1905
48.8597502867	2.38977800005	Tilleul	1905
48.8637445326	2.396525943	Marronnier	1905
48.8625899427	2.39800763476	Cerisier à grappes	1905
48.8631431931	2.39397204361	Tilleul	1905
48.8734817765	2.37687233457	Pommier à fruits	1905
48.8629477458	2.39359032337	Marronnier	1905
48.8720227043	2.27499316992	Néflier	1905
48.8636471945	2.39528672123	Tilleul	1905
48.861696195	2.39026464003	Marronnier	1905
48.8634605614	2.39472990688	Tilleul	1905
48.873449416	2.37668916143	Marronnier	1905
48.8621030871	2.38982711087	Marronnier	1905
48.8574695879	2.37119555975	Poirier à fleurs	1905
48.8734223578	2.37686732059	Pommier à fruits	1905
48.8730097487	2.37696900695	Marronnier	1905
48.8386593899	2.25663348684	Cerisier à fleurs	1905
48.8735653889	2.37661865012	Marronnier	1905
48.8616440513	2.39025770996	Marronnier	1905
