lat	lon	essence	anne_plant
48.8314954614	2.37830313328	Sophora	1998
48.8842048286	2.37060644732	Peuplier	1988
48.8983309345	2.36304684527	Cerisier à fleurs	1988
48.8935776508	2.32966192451	Tilleul	1990
48.8623056774	2.30407321408	Marronnier	1975
48.8618386693	2.23898214817	Platane	2002
48.8999377826	2.37598213704	Marronnier	2008
48.8561489878	2.36544036936	Tilleul	1976
48.8475068708	2.30600758146	Platane	2010
48.8390233829	2.38185358075	Robinier	1974
48.8912235027	2.3189541175	Platane	1989
48.8418529968	2.33715973466	Marronnier	2011
48.8754085206	2.27264723914	Noisetier de Byzance	1994
48.8243920799	2.3361839041	Platane	1930
48.8433796228	2.27534234262	Tilleul	1978
48.8460896707	2.38351968534	Marronnier	1999
48.8440488244	2.38857088977	Poirier à fleurs	2007
48.873911109	2.27723413193	Platane	1990
48.8352638022	2.38714418796	Platane	1998
48.8797608469	2.30935241209	Erable	2000
48.8451466749	2.26339489844	Platane	1996
48.8279072184	2.29815919271	Micocoulier	2010
48.8664136364	2.28981680783	Platane	1987
48.868654355	2.34691196866	Chêne	2007
48.864514717	2.40696839457	Platane	2009
48.8405654307	2.27865528747	Cerisier à grappes	1990
48.8349215589	2.34588960695	Marronnier	1994
48.8409950668	2.27653819941	Magnolia	1991
48.8472345819	2.36713930856	Tilleul	1999
48.8259947309	2.37815086929	Tilleul	1969
48.8367493443	2.3834079334	Tilleul	1995
48.8316964494	2.363258019	Cerisier à fleurs	1989
48.8601854869	2.26456095791	Merisier	2008
48.8409311583	2.27222041945	Bouleau	2000
48.868976341	2.25479243846	Noisetier de Byzance	1993
48.8754415198	2.3694607584	Robinier	2005
48.8773932115	2.29926834971	Frêne	1991
48.8789424077	2.30865711388	Erable	1961
48.8403867015	2.28017625307	Platane	2010
48.8825036738	2.39115713929	Platane	1916
48.848932984	2.35771872395	Platane	1997
48.8471255261	2.361563437	Erable	1978
48.8369989981	2.29063957514	Sophora	1992
48.8471693876	2.3994842197	Charme	2005
48.8257859212	2.34582498851	Sophora	1987
48.8417457577	2.27549133618	Faux-cyprès	1991
48.8252581154	2.33763437849	Platane	2003
48.8428160589	2.33676212138	Marronnier	2007
48.841460397	2.27237444797	Bouleau	1991
48.8380360035	2.31314867257	Cerisier à fleurs	1985
48.8712013579	2.33603998799	Pterocarya	1998
48.8458714926	2.25070440846	Marronnier	1994
48.8345775442	2.33061310686	Cedrele	1993
48.8783905847	2.37461693923	Platane	1991
48.849160596	2.39646146375	Non spécifié	1998
48.8790455771	2.30839182127	Chêne	2001
48.8467135389	2.28813655682	Sophora	2011
48.8818824779	2.29170853901	Poirier à fleurs	1989
48.8358949371	2.35895362565	Micocoulier	2000
48.8877037345	2.31520439936	Sophora	2001
48.8399338907	2.27584107654	Chêne	1991
48.8746944598	2.36251987057	Mûrier	2004
48.8969985609	2.31429525912	Non spécifié	2012
48.8768778017	2.35565615081	Orme	2006
48.8385240104	2.31977443619	Chêne	1995
48.8368616717	2.3596746462	Micocoulier	2012
48.8806103216	2.28618926424	Platane	1989
48.8409059532	2.40397344215	Tilleul	1989
48.8819340814	2.3717911785	Poirier à fleurs	2013
48.8433779109	2.38396051589	Tilleul	1995
48.8235209024	2.36901663311	Marronnier	2000
48.8225448887	2.35825697894	Arbre aux quarante écus	2013
48.839737706	2.32852888656	Sophora	1922
48.8784991018	2.33647525399	Magnolia	1995
48.8881130218	2.36631207517	Erable	2009
48.8285472027	2.33462513752	Platane	1930
48.8818437907	2.29171620429	Sophora	1999
48.8923679191	2.34611723066	Frêne	1997
48.8475737905	2.37545477886	Magnolia	2004
48.882695	2.36725284206	Charme	2013
48.8340988156	2.3657538295	Platane	2009
48.8739228832	2.284346271	Tilleul	1958
48.8427594314	2.33709344713	Marronnier	2007
48.8683935902	2.40361626077	Erable	1988
48.8596624248	2.28545680464	Micocoulier	1997
48.8379435463	2.39231856992	Tilleul	1989
48.886300218	2.3651848162	Erable	2006
48.8195372498	2.34988206209	Charme	1987
48.8248897056	2.31664536578	Charme-Houblon	2008
48.8710947071	2.29409203066	Marronnier	1995
48.8430512079	2.27477690825	Laurier du Portugal	1991
48.8377416715	2.27761085166	Erable	1991
48.8410661005	2.28514077843	Poirier à fleurs	2000
48.8242617783	2.34429774482	Poirier à fleurs	2009
48.8662554755	2.27711723606	Tilleul	1993
48.8822593498	2.29240403414	Poirier à fleurs	2009
48.8894666214	2.38774154702	Aulne	2003
48.8628051419	2.31108207023	Platane	1975
48.8193365115	2.34764563962	Chêne	1994
48.8371500079	2.33159874107	Tilleul	1995
48.8430330877	2.38482369227	Tilleul	1995
48.8553158831	2.36473938505	Tilleul	1976
48.8393473854	2.40261689938	Houx	2005
48.8431409364	2.41285393651	Marronnier	1988
48.8701142438	2.30576778413	Platane	1992
48.8860301674	2.36487649872	Fevier	2006
48.8856727439	2.32746326004	Fevier	2003
48.8348127658	2.38584706954	Tilleul	1995
