year	count
1602	1
1740	1
1745	1
1753	2
1840	1
1850	1
1860	1
1870	24
1872	1
1873	4
1882	27
1883	1
1894	1
1895	2
1899	1
1900	16
1905	143
1916	121
1920	17
1922	146
1929	22
1930	157
1931	158
1932	75
1933	4
1934	8
1935	55
1936	49
1937	4
1940	1
1945	2
1952	1
1954	1
1955	13
1956	3
1957	3
1958	23
1959	86
1960	92
1961	44
1962	97
1963	103
1964	47
1965	66
1966	87
1967	48
1968	42
1969	74
1970	107
1971	79
1972	147
1973	143
1974	214
1975	322
1976	227
1977	92
1978	122
1979	25
1980	141
1981	55
1982	167
1983	145
1984	72
1985	184
1986	861
1987	1310
1988	2419
1989	2317
1990	1457
1991	3085
1992	1275
1993	1297
1994	1897
1995	1372
1996	2158
1997	1289
1998	1676
1999	1141
2000	2367
2001	646
2002	418
2003	719
2004	661
2005	1490
2006	1366
2007	2031
2008	818
2009	1207
2010	635
2011	1391
2012	1312
2013	819
2014	367
